customer_id,age,gender,city,total_orders,avg_order_value,loyalty_points,days_since_last_order,is_subscribed,device_type,sales_amount
1,56,M,Tashkent,20,114110.0,194.0,89.0,1,Mobile,3259707.6638785396
2,46,M,Tashkent,26,234626.0,329.0,66.0,0,Mobile,6760864.496292565
3,32,F,Andijan,4,202008.0,423.0,30.0,0,Desktop,1740624.796486096
4,25,F,Tashkent,46,166895.0,174.0,3.0,0,Desktop,7436054.666831458
5,38,M,Andijan,22,54426.0,489.0,21.0,0,Desktop,1104221.2704068515
6,56,F,Andijan,15,269911.0,,,1,Desktop,3922219.5157637834
7,36,M,Tashkent,40,291888.0,412.0,84.0,1,Desktop,11306570.044613123
8,40,M,Samarkand,21,77606.0,433.0,49.0,0,Mobile,1493781.1342239822
9,28,M,Samarkand,15,228904.0,353.0,86.0,0,Mobile,3252952.8077510814
10,28,M,Andijan,22,78151.0,498.0,85.0,1,Mobile,1723637.4911658687
11,41,F,Tashkent,28,260375.0,140.0,62.0,1,Desktop,7087821.9684199
12,53,F,Samarkand,14,61308.0,245.0,97.0,1,Mobile,1223823.857009701
13,57,F,Tashkent,27,290853.0,384.0,38.0,0,Mobile,8123824.018207846
14,41,M,Tashkent,41,243594.0,417.0,15.0,1,Desktop,10363216.453511704
15,20,M,Tashkent,40,226743.0,92.0,52.0,0,Desktop,10638017.563344482
16,39,M,Namangan,28,140306.0,,,0,Mobile,4220802.238716511
17,19,F,Tashkent,26,275180.0,238.0,46.0,1,Mobile,9484570.992800782
18,41,M,,49,156984.0,204.0,25.0,0,Desktop,8146905.539822612
19,47,F,Andijan,2,52204.0,47.0,21.0,1,Desktop,-319351.5908828375
20,55,F,Samarkand,25,142769.0,432.0,88.0,0,Desktop,5134808.239046999
21,19,F,Samarkand,3,137265.0,244.0,5.0,1,Desktop,454267.73229180137
22,38,F,Samarkand,8,,319.0,70.0,0,Mobile,-1585136.1517341286
23,50,F,Samarkand,44,102428.0,316.0,47.0,0,Mobile,4660828.858164816
24,29,F,Samarkand,33,83870.0,412.0,87.0,1,Desktop,2724534.1620560423
25,39,M,Samarkand,42,153547.0,294.0,68.0,1,Mobile,8202521.386288335
26,42,M,Samarkand,35,285990.0,127.0,91.0,1,Mobile,9175583.314999633
27,44,F,Andijan,6,99067.0,343.0,18.0,1,Desktop,433247.1819217278
28,59,F,Tashkent,39,239657.0,281.0,21.0,0,Mobile,10754762.37606046
29,45,M,Bukhara,23,288083.0,16.0,92.0,1,Mobile,7028317.53272418
30,33,F,Namangan,25,162217.0,70.0,99.0,1,Mobile,3918968.175026866
31,32,F,Bukhara,43,202679.0,268.0,86.0,0,Desktop,8092711.333526966
32,20,M,Bukhara,19,206040.0,324.0,23.0,1,Desktop,4428505.72687503
33,54,F,Tashkent,5,148934.0,281.0,64.0,1,Mobile,855868.8567817311
34,24,F,Tashkent,11,,,67.0,0,Desktop,1506950.7347928025
35,38,F,Tashkent,12,,450.0,40.0,1,Desktop,1999093.458672135
36,26,M,Samarkand,10,290223.0,6.0,10.0,1,Desktop,2090757.885554918
37,56,M,Andijan,8,124707.0,313.0,89.0,1,Mobile,161600.38623612048
38,35,M,Samarkand,24,259329.0,304.0,52.0,1,Mobile,7309929.759972336
39,21,F,Andijan,28,,102.0,72.0,1,Desktop,3964413.3586204383
40,42,F,Andijan,41,236907.0,308.0,75.0,1,Mobile,10802861.456385793
41,31,M,,36,99429.0,192.0,61.0,0,Mobile,3679943.5487685245
42,26,F,Bukhara,37,132152.0,240.0,64.0,1,Mobile,4766995.2121998435
43,43,F,Andijan,21,158048.0,61.0,5.0,0,Mobile,3125125.8901086636
44,19,F,Andijan,8,219530.0,16.0,53.0,0,Mobile,2785341.572906108
45,37,F,Samarkand,9,,170.0,55.0,0,Desktop,310021.178004171
46,45,F,Samarkand,47,188731.0,,37.0,0,Mobile,8367870.896642578
47,24,M,Bukhara,15,241686.0,250.0,56.0,1,Mobile,2862944.372495583
48,25,F,Tashkent,48,289977.0,252.0,59.0,1,Mobile,15404783.546588408
49,52,M,Andijan,46,127240.0,386.0,93.0,1,Desktop,5568582.476552881
50,31,F,Samarkand,40,213865.0,206.0,69.0,0,Desktop,7021611.164560226
51,34,M,Bukhara,18,163688.0,28.0,73.0,1,Desktop,3183807.6422467898
52,53,F,Samarkand,42,96473.0,116.0,59.0,1,Mobile,3739751.8051060857
53,57,M,Andijan,20,146762.0,490.0,2.0,1,Desktop,2623311.1923150383
54,21,F,Andijan,6,270460.0,415.0,65.0,0,Desktop,1170228.0432741723
55,19,M,Namangan,12,278690.0,281.0,60.0,0,Desktop,2785295.220839193
56,23,F,Tashkent,2,269402.0,379.0,51.0,1,Desktop,1436864.3148566447
57,59,M,Namangan,7,156956.0,143.0,30.0,0,Mobile,1393979.3665578435
58,21,F,Bukhara,16,168452.0,,11.0,0,Desktop,2509266.244369471
59,46,M,,3,236823.0,309.0,92.0,1,Desktop,-233269.8768463363
60,35,M,Bukhara,45,176311.0,155.0,76.0,0,Mobile,7842601.676612079
61,43,F,Andijan,3,259987.0,72.0,39.0,0,Mobile,1076588.8576000263
62,51,F,Namangan,27,235326.0,119.0,90.0,1,Desktop,6711956.448259491
63,27,M,Namangan,43,57006.0,311.0,77.0,0,Mobile,2767642.382991769
64,53,F,,40,299243.0,320.0,72.0,0,Desktop,11207127.333172472
65,31,M,Bukhara,38,297754.0,,63.0,0,Mobile,8957475.40740798
66,48,M,Andijan,33,124218.0,85.0,64.0,0,Mobile,5941312.760051933
67,32,M,Samarkand,28,246416.0,335.0,61.0,0,Desktop,5757511.1258914685
68,25,F,Samarkand,1,214912.0,424.0,54.0,0,Mobile,-1538045.9586669384
69,31,M,Bukhara,8,82430.0,498.0,92.0,0,Desktop,1038955.6130040956
70,40,M,Namangan,37,73091.0,363.0,,0,Mobile,1177348.4967692792
71,57,F,Tashkent,32,214055.0,434.0,73.0,1,Desktop,6261961.251425114
72,38,F,Bukhara,48,73989.0,117.0,95.0,1,Mobile,4158822.4258088283
73,33,F,Bukhara,43,125451.0,232.0,58.0,1,Mobile,7283080.268474046
74,35,F,Andijan,37,289160.0,198.0,85.0,1,Mobile,11185431.808272377
75,41,M,,4,68990.0,205.0,56.0,0,Mobile,-60699.27087688021
76,43,M,Bukhara,30,140270.0,412.0,34.0,1,Mobile,4362680.445593158
77,42,M,Bukhara,6,130360.0,338.0,31.0,1,Desktop,-857425.9571749025
78,58,M,Namangan,46,86081.0,146.0,52.0,0,Mobile,3581973.89083485
79,46,F,Namangan,19,192105.0,449.0,,0,Desktop,3424713.3960730555
80,32,M,Tashkent,32,,424.0,76.0,0,Desktop,5430032.662137181
81,18,M,Andijan,9,66241.0,428.0,1.0,0,Desktop,2752358.612693771
82,42,F,Tashkent,12,174932.0,270.0,55.0,0,Mobile,297388.71126776095
83,24,M,Namangan,11,55939.0,386.0,22.0,1,Desktop,400651.3884255133
84,26,M,Samarkand,46,163000.0,138.0,40.0,0,Mobile,5733490.456008154
85,41,M,Namangan,16,228634.0,180.0,1.0,1,Desktop,3244779.906749492
86,18,M,Andijan,1,85063.0,429.0,65.0,1,Desktop,-565039.1411179935
87,25,M,Namangan,45,281072.0,29.0,63.0,0,Desktop,11168393.6924986
88,41,M,Andijan,21,257793.0,56.0,54.0,1,Desktop,6354745.030529779
89,28,F,Andijan,30,208117.0,231.0,42.0,1,Desktop,6614657.7038504295
90,34,F,Andijan,13,297706.0,145.0,21.0,0,Mobile,4738533.629654046
91,25,M,Andijan,34,225841.0,434.0,79.0,1,Desktop,7363940.175332505
92,52,M,Andijan,4,97118.0,383.0,81.0,1,Desktop,509255.52421991725
93,52,F,Samarkand,28,134703.0,47.0,22.0,1,Mobile,5389824.641216314
94,50,M,Tashkent,38,283020.0,193.0,38.0,0,Mobile,10848539.804890888
95,22,M,Bukhara,31,202697.0,223.0,99.0,0,Mobile,7203063.549159441
96,59,M,Tashkent,27,285796.0,135.0,80.0,0,Desktop,7166535.697283271
97,56,F,Andijan,5,178557.0,21.0,8.0,1,Desktop,1619302.3433642602
98,58,M,Samarkand,25,77076.0,5.0,62.0,0,Desktop,1380480.6401946985
99,45,F,Namangan,3,245877.0,203.0,47.0,1,Desktop,-1057291.3760596726
100,24,M,Samarkand,33,94605.0,238.0,17.0,0,Desktop,3233382.112078958
101,26,F,Andijan,4,134565.0,184.0,17.0,1,Desktop,159956.85739603802
102,25,F,Samarkand,25,269581.0,359.0,90.0,0,Mobile,5294243.640602738
103,29,M,Samarkand,20,89121.0,291.0,,0,Mobile,2119412.8516731737
104,51,F,Andijan,34,246173.0,334.0,,1,Desktop,7643355.5150466785
105,50,M,Samarkand,26,81433.0,219.0,38.0,0,Desktop,5319399.278462682
106,40,F,Bukhara,5,93309.0,115.0,81.0,1,Desktop,-940397.2334136674
107,41,M,Bukhara,35,117468.0,312.0,78.0,0,Desktop,3054455.0575498603
108,54,M,Samarkand,28,,48.0,45.0,0,Desktop,7202679.10664779
109,52,F,Namangan,29,117293.0,172.0,6.0,1,Mobile,3354475.119359911
110,57,M,Andijan,9,146258.0,81.0,35.0,1,Mobile,2206024.309262218
111,39,M,Bukhara,38,218925.0,321.0,14.0,1,Desktop,8860041.0538979
112,44,F,Namangan,6,88405.0,332.0,72.0,0,Mobile,114122.87206881796
113,52,M,Samarkand,19,247724.0,44.0,61.0,1,Desktop,3349663.606920368
114,18,M,Namangan,44,93527.0,334.0,,0,Desktop,5353271.080728032
115,52,F,Tashkent,11,127227.0,19.0,54.0,1,Desktop,120546.81441070046
116,54,F,Bukhara,2,181564.0,447.0,27.0,1,Mobile,1145533.961164161
117,31,M,Samarkand,47,,220.0,13.0,1,Mobile,13930028.757256849
118,20,M,Andijan,44,189883.0,122.0,31.0,1,Desktop,8288934.195970039
119,18,F,Samarkand,44,143344.0,233.0,35.0,1,Mobile,6119488.464312197
120,22,F,Andijan,9,205344.0,220.0,60.0,1,Mobile,974369.8953389798
121,43,M,Samarkand,21,,322.0,6.0,0,Desktop,6398889.716704302
122,31,F,,24,253082.0,338.0,69.0,1,Mobile,3197039.168918388
123,56,M,Namangan,34,273564.0,2.0,86.0,0,Mobile,10017902.33905681
124,44,M,Namangan,22,97153.0,181.0,,1,Desktop,2347342.340975714
125,26,M,Tashkent,3,158042.0,205.0,49.0,1,Desktop,353810.3002803177
126,32,M,Andijan,12,104110.0,319.0,,1,Mobile,1651122.2746638476
127,32,M,Namangan,28,195051.0,39.0,89.0,0,Desktop,4107371.608067871
128,43,F,Tashkent,30,291131.0,58.0,34.0,0,Mobile,6349937.311924117
129,59,F,Andijan,26,289173.0,438.0,26.0,1,Desktop,8206073.069953961
130,30,F,Samarkand,48,78328.0,61.0,47.0,0,Desktop,5106790.17218469
131,49,F,Tashkent,21,162911.0,131.0,5.0,1,Desktop,1747229.028063263
132,56,M,Bukhara,28,62867.0,59.0,90.0,1,Desktop,737295.9230035872
133,49,M,Tashkent,26,109234.0,371.0,20.0,0,Mobile,3777908.893027437
134,21,M,Tashkent,33,75851.0,330.0,6.0,0,Desktop,3026972.7599468525
135,47,M,Andijan,21,81279.0,121.0,70.0,0,Desktop,4730467.456306708
136,54,F,Samarkand,35,298503.0,478.0,59.0,0,Desktop,11762262.468825899
137,40,M,Bukhara,34,277135.0,106.0,64.0,1,Mobile,10311014.471893048
138,56,M,Namangan,41,123402.0,95.0,18.0,0,Mobile,4343193.300005117
139,32,F,Namangan,47,65449.0,346.0,4.0,0,Desktop,3773908.7963906825
140,46,F,Tashkent,18,126221.0,413.0,17.0,1,Desktop,3973891.66247537
141,53,F,Andijan,11,139080.0,234.0,14.0,0,Desktop,1482489.2349270945
142,30,F,Andijan,23,55451.0,385.0,78.0,0,Desktop,1350658.4262628679
143,49,M,Namangan,48,137178.0,61.0,13.0,0,Desktop,6756397.526606933
144,24,M,Bukhara,22,222388.0,255.0,7.0,0,Desktop,4355537.318527766
145,39,F,Samarkand,17,244136.0,48.0,44.0,1,Mobile,4443275.514123314
146,45,M,Bukhara,5,113761.0,392.0,15.0,1,Desktop,1008777.1382756814
147,19,M,Samarkand,44,286562.0,347.0,19.0,0,Desktop,14262214.413180657
148,59,M,Namangan,11,88870.0,158.0,63.0,0,Desktop,867177.5574892968
149,23,F,Samarkand,30,146566.0,123.0,35.0,1,Desktop,5133208.546063506
150,45,M,Andijan,15,173749.0,481.0,81.0,0,Desktop,2687169.7180079487
151,45,F,Tashkent,27,173765.0,316.0,35.0,0,Desktop,5489414.4417822445
152,37,M,Tashkent,35,174881.0,,,0,Mobile,5973776.544208102
153,47,M,Namangan,33,211945.0,47.0,20.0,0,Mobile,7591157.986945206
154,28,M,Andijan,20,178389.0,408.0,35.0,0,Mobile,4500015.829088448
155,45,F,Bukhara,16,239699.0,419.0,32.0,0,Mobile,2978027.866942191
156,42,M,Andijan,34,247227.0,,48.0,0,Mobile,9575593.4206706
157,56,F,Tashkent,2,280258.0,200.0,44.0,0,Mobile,494038.6130519785
158,50,F,Tashkent,35,75372.0,,24.0,0,Desktop,2292723.3053738507
159,18,F,Andijan,40,53642.0,313.0,61.0,1,Desktop,1592171.888329978
160,44,M,Andijan,28,209073.0,356.0,17.0,1,Desktop,6330244.278098241
161,30,M,Tashkent,47,84064.0,367.0,71.0,1,Desktop,4129886.311096478
162,58,M,Bukhara,39,275898.0,428.0,50.0,0,Desktop,11344829.185541686
163,20,M,Namangan,6,64122.0,317.0,65.0,0,Desktop,933452.7843184792
164,56,F,,9,205892.0,294.0,99.0,1,Mobile,2608612.6453501782
165,23,F,Andijan,20,118431.0,479.0,32.0,0,Desktop,5384404.116153058
