feature,importance
distance_age_interaction,43561.562287411645
distance_to_center,29301.650984524807
rooms,26859.072194821267
age_group_6-15,18732.538529109093
city_Samarkand,15709.23828736087
distance_squared,13905.085616448687
age_group_0-5,11627.8985406561
has_garage_and_garden_1,11516.290142735856
has_garage_and_garden_0,11516.29005849676
city_Bukhara,7555.9028429925065
city_Fergana,6370.330562386952
has_garden_0,6100.8863795527395
has_garden_1,6100.886241995772
city_Tashkent,5671.42055950384
age,5358.636178289688
has_garage_0,5278.89081386859
has_garage_1,5278.890794508957
age_group_31-50,3901.056353963814
city_Namangan,3889.4156701195043
age_group_16-30,3201.5824235909063
