client_id,full_name,age,gender,marital_status,region,education_level,employment_years
1,Client_1,59,male,single,Andijan,high_school,8
2,Client_2,49,male,widowed,Andijan,high_school,27
3,Client_3,35,male,widowed,Samarkand,high_school,22
4,Client_4,63,male,single,Andijan,high_school,21
5,Client_5,28,female,married,Tashkent,high_school,23
6,Client_6,41,female,married,Samarkand,bachelor,25
7,Client_7,59,female,widowed,Namangan,high_school,29
8,Client_8,39,male,married,Samarkand,high_school,32
9,Client_9,43,male,single,Bukhara,bachelor,15
10,Client_10,31,male,divorced,Namangan,high_school,21
11,Client_11,31,male,divorced,Bukhara,high_school,17
12,Client_12,44,male,married,Namangan,high_school,6
13,Client_13,56,female,widowed,Andijan,high_school,25
14,Client_14,60,female,widowed,Samarkand,bachelor,7
15,Client_15,44,male,widowed,Tashkent,high_school,5
16,Client_16,23,male,widowed,Namangan,master,29
17,Client_17,42,male,widowed,Namangan,master,22
18,Client_18,22,male,married,Bukhara,bachelor,31
19,Client_19,44,female,divorced,Andijan,bachelor,21
20,Client_20,64,male,divorced,Bukhara,master,8
21,Client_21,50,male,married,Bukhara,bachelor,30
22,Client_22,58,male,widowed,Andijan,high_school,6
23,Client_23,22,male,married,Tashkent,high_school,8
24,Client_24,41,female,divorced,Bukhara,master,12
25,Client_25,53,male,single,Bukhara,high_school,2
26,Client_26,32,male,married,Namangan,high_school,34
27,Client_27,42,female,widowed,Andijan,bachelor,32
28,Client_28,64,female,divorced,Samarkand,master,20
29,Client_29,45,female,divorced,Tashkent,high_school,30
30,Client_30,47,male,divorced,Tashkent,bachelor,33
31,Client_31,62,male,divorced,Andijan,high_school,31
32,Client_32,48,female,widowed,Namangan,bachelor,34
33,Client_33,36,female,single,Namangan,high_school,14
34,Client_34,35,female,divorced,Andijan,high_school,31
35,Client_35,64,female,married,Namangan,master,5
36,Client_36,23,female,single,Tashkent,bachelor,20
37,Client_37,57,female,divorced,Tashkent,bachelor,32
38,Client_38,27,male,single,Samarkand,bachelor,31
39,Client_39,41,male,married,Andijan,high_school,18
40,Client_40,29,male,divorced,Bukhara,bachelor,32
41,Client_41,59,female,married,Bukhara,high_school,27
42,Client_42,38,female,widowed,Samarkand,high_school,30
43,Client_43,24,female,divorced,Samarkand,high_school,20
44,Client_44,45,female,divorced,Namangan,bachelor,33
45,Client_45,34,female,divorced,Samarkand,master,14
46,Client_46,29,female,divorced,Samarkand,phd,13
47,Client_47,46,male,widowed,Bukhara,bachelor,18
48,Client_48,22,male,divorced,Namangan,high_school,14
49,Client_49,40,female,single,Samarkand,bachelor,5
50,Client_50,48,male,divorced,Samarkand,master,8
51,Client_51,27,female,widowed,Namangan,high_school,19
52,Client_52,64,male,divorced,Andijan,phd,33
53,Client_53,28,female,single,Namangan,high_school,25
54,Client_54,55,female,widowed,Bukhara,phd,17
55,Client_55,34,male,widowed,Andijan,master,27
56,Client_56,37,male,single,Tashkent,master,8
57,Client_57,56,female,single,Namangan,high_school,31
58,Client_58,60,female,single,Bukhara,high_school,5
59,Client_59,24,male,single,Andijan,high_school,13
60,Client_60,22,male,single,Namangan,high_school,27
61,Client_61,26,female,widowed,Samarkand,high_school,23
62,Client_62,62,male,widowed,Namangan,bachelor,12
63,Client_63,24,female,divorced,Tashkent,bachelor,11
64,Client_64,49,female,divorced,Namangan,bachelor,18
65,Client_65,38,female,married,Andijan,bachelor,20
66,Client_66,46,female,divorced,Andijan,high_school,26
67,Client_67,64,male,divorced,Namangan,phd,18
68,Client_68,54,male,single,Andijan,high_school,23
69,Client_69,30,male,single,Samarkand,bachelor,25
70,Client_70,56,male,divorced,Namangan,bachelor,27
71,Client_71,34,male,married,Samarkand,master,17
72,Client_72,51,male,single,Samarkand,high_school,28
73,Client_73,35,male,divorced,Bukhara,bachelor,16
74,Client_74,28,female,divorced,Namangan,bachelor,3
75,Client_75,34,male,widowed,Andijan,high_school,28
76,Client_76,43,male,married,Samarkand,bachelor,3
77,Client_77,60,female,widowed,Bukhara,master,9
78,Client_78,41,male,married,Namangan,phd,24
79,Client_79,36,male,single,Namangan,high_school,30
80,Client_80,38,female,married,Tashkent,high_school,2
81,Client_81,44,male,divorced,Tashkent,high_school,1
82,Client_82,46,male,divorced,Samarkand,high_school,24
83,Client_83,45,male,married,Tashkent,high_school,5
84,Client_84,61,female,married,Samarkand,high_school,25
85,Client_85,49,male,married,Andijan,phd,7
86,Client_86,35,male,widowed,Samarkand,master,34
87,Client_87,21,female,married,Tashkent,high_school,26
88,Client_88,45,male,single,Andijan,high_school,24
89,Client_89,27,female,widowed,Tashkent,bachelor,17
90,Client_90,29,female,widowed,Samarkand,high_school,0
91,Client_91,44,male,married,Bukhara,bachelor,2
92,Client_92,21,female,single,Namangan,bachelor,3
93,Client_93,64,female,widowed,Tashkent,master,14
94,Client_94,28,male,divorced,Samarkand,bachelor,7
95,Client_95,44,female,widowed,Andijan,bachelor,18
96,Client_96,31,female,married,Tashkent,bachelor,25
97,Client_97,37,male,single,Tashkent,high_school,9
98,Client_98,28,male,married,Namangan,bachelor,13
99,Client_99,55,male,divorced,Samarkand,bachelor,18
100,Client_100,55,female,divorced,Bukhara,high_school,29
101,Client_101,53,male,divorced,Andijan,high_school,4
102,Client_102,25,female,married,Samarkand,high_school,30
103,Client_103,62,female,widowed,Andijan,master,6
104,Client_104,59,female,married,Tashkent,high_school,18
105,Client_105,61,female,single,Namangan,high_school,30
106,Client_106,48,female,widowed,Namangan,high_school,23
107,Client_107,27,female,divorced,Bukhara,bachelor,33
108,Client_108,29,female,married,Namangan,high_school,22
109,Client_109,28,male,divorced,Tashkent,phd,5
110,Client_110,32,male,divorced,Bukhara,master,26
111,Client_111,54,female,single,Samarkand,bachelor,10
112,Client_112,53,female,widowed,Namangan,bachelor,4
113,Client_113,43,male,single,Bukhara,high_school,16
114,Client_114,44,female,single,Tashkent,high_school,6
115,Client_115,57,male,single,Andijan,master,26
116,Client_116,55,male,divorced,Andijan,high_school,14
117,Client_117,64,male,single,Tashkent,high_school,12
118,Client_118,60,female,single,Tashkent,bachelor,10
119,Client_119,42,female,widowed,Andijan,high_school,25
120,Client_120,47,male,widowed,Bukhara,master,21
121,Client_121,55,male,single,Andijan,high_school,27
122,Client_122,21,male,widowed,Tashkent,master,23
123,Client_123,55,male,widowed,Namangan,bachelor,28
124,Client_124,57,male,single,Samarkand,master,8
125,Client_125,34,female,divorced,Namangan,high_school,3
126,Client_126,23,male,single,Namangan,bachelor,17
127,Client_127,21,female,widowed,Tashkent,master,15
