client_id,full_name,age,gender,marital_status,region,education_level,employment_years,risk_score,risk_level,approve_credit,income,credit_score,loan_amount,past_due,monthly_expenses,savings_balance
1,Client_1,59,male,single,Andijan,high_school,8,39.063,0,1,6751.41,773,7313.6,1,3968.91,3906.33
2,Client_2,49,male,widowed,Andijan,high_school,27,111.792,2,1,6667.9,628,13648.15,2,2094.24,11396.77
3,Client_3,35,male,widowed,Samarkand,high_school,22,48.099,0,1,7551.83,756,8053.81,1,1922.36,14182.23
4,Client_4,63,male,single,Andijan,high_school,21,72.197,1,1,6345.03,706,12914.76,4,3195.5,3431.1
5,Client_5,28,female,married,Tashkent,high_school,23,168.171,3,0,7265.29,515,18429.49,3,4154.77,15894.4
6,Client_6,41,female,married,Samarkand,bachelor,25,122.381,3,0,6378.52,607,10518.53,2,2808.37,15031.44
7,Client_7,59,female,widowed,Namangan,high_school,29,101.657,2,1,8971.77,648,14149.97,4,4071.46,8755.3
8,Client_8,39,male,married,Samarkand,high_school,32,116.207,3,0,5970.58,619,10895.07,3,3016.2,13085.08
9,Client_9,43,male,single,Bukhara,bachelor,15,80.463,1,1,8466.47,690,12516.31,2,2211.73,15502.31
10,Client_10,31,male,divorced,Namangan,high_school,21,67.943,1,1,6122.3,716,11435.43,1,3608.41,10171.53
11,Client_11,31,male,divorced,Bukhara,high_school,17,5.4,0,1,5719.38,841,10071.67,0,1977.37,12504.01
12,Client_12,44,male,married,Namangan,high_school,6,64.424,1,1,5948.81,722,9784.81,3,2684.68,6372.49
13,Client_13,56,female,widowed,Andijan,high_school,25,19.261,0,1,4432.85,814,5904.63,0,1717.49,9227.91
14,Client_14,60,female,widowed,Samarkand,bachelor,7,107.223,2,1,7657.9,637,11023.48,4,2965.69,8646.08
15,Client_15,44,male,widowed,Tashkent,high_school,5,33.287,0,1,5254.04,785,8301.25,2,2527.7,10901.67
16,Client_16,23,male,widowed,Namangan,master,29,103.145,2,1,6463.12,646,12653.96,2,3864.07,9061.99
17,Client_17,42,male,widowed,Namangan,master,22,127.038,3,0,8142.43,597,17224.61,3,3775.03,5975.66
18,Client_18,22,male,married,Bukhara,bachelor,31,128.656,3,0,8094.03,594,10501.43,4,4189.66,10223.08
19,Client_19,44,female,divorced,Andijan,bachelor,21,204.543,3,0,4852.51,442,15629.26,4,1024.11,4692.31
20,Client_20,64,male,divorced,Bukhara,master,8,47.652,0,1,7465.82,757,9899.41,2,3913.36,5234.01
21,Client_21,50,male,married,Bukhara,bachelor,30,143.708,3,0,8710.74,564,20207.64,4,2787.35,6276.73
22,Client_22,58,male,widowed,Andijan,high_school,6,22.263,0,1,6044.74,807,9889.49,2,1515.3,12453.02
23,Client_23,22,male,married,Tashkent,high_school,8,93.747,2,1,7770.36,664,14479.55,1,1906.33,17582.74
24,Client_24,41,female,divorced,Bukhara,master,12,155.737,3,0,5285.08,540,10237.69,3,2494.29,12442.44
25,Client_25,53,male,single,Bukhara,high_school,2,136.092,3,0,7578.49,579,15777.99,1,4539.87,16732.48
26,Client_26,32,male,married,Namangan,high_school,34,77.435,1,1,7196.91,697,8053.65,3,3357.2,15548.54
27,Client_27,42,female,widowed,Andijan,bachelor,32,170.137,3,0,7991.72,511,20674.15,4,2436.99,5096.09
28,Client_28,64,female,divorced,Samarkand,master,20,59.358,1,1,7898.72,733,8885.62,1,2222.09,16431.29
29,Client_29,45,female,divorced,Tashkent,high_school,30,153.374,3,0,4969.77,544,9578.41,6,2039.51,10270.36
30,Client_30,47,male,divorced,Tashkent,bachelor,33,118.507,3,0,7204.83,613,9720.64,5,1628.4,5494.26
